project_id,questions_count
5923215,191
80945428,236
12820537,156
65794292,1145
42408804,1312
71995937,967
14370955,1
12972263,711
7741856,283
12791642,1774
39464018,0
18708860,0
1129010,316
29207621,133
43441403,743
6093316,122
7190986,2
29290473,0
139824423,0
21413198,125
15653276,0
1644196,5642
67186968,0
11551538,615
11267509,1472
27442967,723
70198875,5
8681349,4
75830968,0
667006,677
82227585,0
42751014,83
106017343,185
931135,7254
191113739,0
15019962,1
41058054,4
2573058,25
91573538,0
1903522,11
35866694,98
70905478,0
60844036,0
9393759,1038
32948863,0
67962648,3407
64558143,0
21935031,0
27729880,2609
5239185,622
17165658,39604
1200050,4696
17375436,0
10865436,0
3482588,0
83119431,0
14194174,2708
115478820,0
952189,9099
206084,0
10446890,14
63266213,0
42283287,212
45512989,0
32689863,93
56717493,8318
128624453,2
26516210,296
26783295,356
858127,94560
10788737,0
71948498,154
15452919,18
1844251,51
101394335,29
21600440,0
698041,346
140687430,0
48626335,1064
3774328,37
65388917,0
21648001,0
30969188,136
2562751,1502
873328,667
117372806,0
138547797,4
54544023,0
56969116,0
51980455,6
4578002,1
18049133,214
14098121,0
206462776,0
145553672,0
61929586,0
20619036,9
35969061,1
137147386,0
94498635,1490
349241,4822
667561,14
41986369,46
154747577,613
108252892,0
8575137,373
114523184,0
34824499,111
29887499,0
47394776,287
3721224,989
76838017,1
3577919,180
94367677,1052
2579314,304
28167802,2
1064563,3090
39176269,3054
38558578,8
156157055,1650
203587744,0
74175805,1197
1283503,6951
3620194,3676
317757,546
238316428,67
22067521,52
25315643,0
29891188,2
6007295,7
122692377,0
29261473,275
44882201,0
27574418,0
481366,161
14705691,0
70431106,0
17728164,5401
31629751,2710
61893399,0
1864363,5862
2329766,94
22362099,2
6452529,1052
25136308,301
17803236,47
458058,23762
13840241,1
42956467,0
24841635,136
72907253,0
36891867,2395
50447720,0
8859474,8
109343098,0
105919803,11
95189138,0
130464961,5093
191529732,24
2096579,2963
64355429,54
146633589,1
62812261,2
9754983,1531
53238813,1128
32578467,3717
8989842,0
15585444,28686
13078968,454
6988020,110
95876775,1
162279822,0
32247847,5625
46273445,42
133251103,114
313419,570
790359,6253
4484451,793
18280236,139
11620669,0
